Datum Tid (UTC),hs,tp,mwd
2007-07-01 00:00:00,0.6,4.0,236.25
2007-07-01 01:00:00,0.58,3.92,241.88
2007-07-01 02:00:00,0.59,3.88,247.5
2007-07-01 03:00:00,0.67,3.85,241.88
2007-07-01 04:00:00,0.7,4.12,247.5
2007-07-01 05:00:00,0.54,4.08,236.25
2007-07-01 06:00:00,0.49,4.0,241.88
2007-07-01 07:00:00,0.47,4.0,247.5
2007-07-01 08:00:00,0.43,3.96,247.5
2007-07-01 09:00:00,0.41,4.04,241.88
2007-07-01 10:00:00,0.38,3.77,241.88
2007-07-01 11:00:00,0.33,3.85,241.88
2007-07-01 12:00:00,0.35,4.08,241.88
2007-07-01 13:00:00,0.37,3.96,253.13
2007-07-01 14:00:00,0.36,4.08,225.0
2007-07-01 15:00:00,0.3,4.0,241.88
2007-07-01 16:00:00,0.31,3.92,241.88
2007-07-01 17:00:00,0.3,3.81,236.25
2007-07-01 18:00:00,0.3,4.21,236.25
2007-07-01 19:00:00,0.31,4.44,253.13
2007-07-01 20:00:00,0.27,3.92,247.5
2007-07-01 21:00:00,0.28,3.08,236.25
2007-07-01 22:00:00,0.28,2.68,264.38
2007-07-01 23:00:00,0.32,2.4,270.0
2007-07-02 00:00:00,0.39,2.38,84.38
2007-07-02 01:00:00,0.46,2.45,84.38
2007-07-02 02:00:00,0.46,2.47,90.0
2007-07-02 03:00:00,0.33,2.41,174.38
2007-07-02 04:00:00,0.32,2.37,84.38
2007-07-02 05:00:00,0.42,2.38,90.0
2007-07-02 06:00:00,0.56,2.47,118.12
2007-07-02 07:00:00,0.55,2.58,151.88
2007-07-02 08:00:00,0.57,2.65,151.88
2007-07-02 09:00:00,0.54,2.61,163.13
2007-07-02 10:00:00,0.64,2.65,157.5
2007-07-02 11:00:00,0.66,3.01,146.25
2007-07-02 12:00:00,0.68,3.25,146.25
2007-07-02 13:00:00,0.52,3.36,163.13
2007-07-02 14:00:00,0.51,3.45,180.0
2007-07-02 15:00:00,0.53,3.85,191.25
